Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?",Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What country do you work in?,Do you work remotely?,Inferred Tech Role,Why or why not bring up with a potential employer in an interview(mental health issue)_cleaned?,Why or why not bring up with a potential employer in an interview(physical health issue)_cleaned?
0,1,0,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did",Aware,None did,None did,I don't know,I don't know,None of them,None did,None of them,Yes,Maybe,Maybe,"Yes, I think they would",Very open,No,No response,Yes,Yes,Yes,attention-deficit-hyperactivity-disorder,Yes,1,Rarely,Often,30,Male,United States of America,United States of America,Sometimes,1,no response,no response
0,1,0,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,Yes,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",No,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,47,Female,United Kingdom,United Kingdom,Sometimes,1,it might impact the services they needed to provide,it might impact the services they needed to provide
0,1,1,I don't know,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them","Yes, all of them",I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,48,Male,United Kingdom,United Kingdom,Sometimes,1,no response,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",Aware,Some did,Some did,I don't know,Some of them,None of them,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,anxiety-disorder|depression,No,0,Not applicable to me,Often,44,Male,United States of America,United States of America,Sometimes,1,again some of that is protected by law in the us,there are some things that are protected by law in the us that i couldnt ask about if they volunteered the information i would discuss it
0,1,1,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,Yes,1,Some did,Aware,Some did,Some did,Sometimes,I don't know,Some of them,Some did,Some of them,Maybe,Maybe,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Maybe,unknown,Yes,1,Sometimes,Sometimes,29,Male,United States of America,United States of America,Never,0,fear it might make the prospective employer uncomfortable with hiring me,fear that it would be used as a reason not to hire me
0,1,0,Yes,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,Not Aware,I don't know,None did,I don't know,I don't know,None of them,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,52,Male,United States of America,United States of America,Always,1,again not part of the hiring process,that shouldnt be part of a hiring decision
0,1,1,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,1,Some did,Aware,Some did,Some did,"Yes, always",None of them,None of them,Some did,Some of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,Yes,No,healthy,No,0,Sometimes,Sometimes,34,Female,Sweden,Sweden,Sometimes,0,same as physical,my attitude is that it comes with the package and doesnt have to be mentioned my skills are still my skills but i can see situations where i could feel very open and mention it nonetheless if i can tell that the employer feels the same
0,1,1,Yes,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,Not Aware,None did,Some did,Sometimes,Some of them,Some of them,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,34,Male,Netherlands,Netherlands,Never,0,if relevant for the job i would if not i wouldnt,if the issue would significantly impact my work i would bring it up if not i wouldnt
0,1,1,I don't know,I don't know,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,1,Some did,Aware,Some did,Some did,"Yes, always",Some of them,None of them,Some did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,United States of America,Sometimes,1,no response,no response
0,1,1,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,No,1,"No, none did",Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,No,No,Maybe,"Yes, they do",Somewhat open,Maybe/Not sure,Yes,I don't know,Maybe,Maybe,unknown,No,0,Not applicable to me,Sometimes,30,Male,Russia,Russia,Sometimes,1,it would be uncomfortable,it would be uncomfortable
0,0,1,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did",Aware,"Yes, they all did",Some did,No,None of them,Some of them,Some did,Some of them,Yes,No,"No, it has not","No, they do not",Neutral,"Yes, I experienced",No,Yes,Yes,Maybe,unknown,No,0,Sometimes,Sometimes,40,Male,United Kingdom,United Kingdom,Sometimes,0,because that is up to them to share,because it is important
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Aware,None did,None did,I don't know,Some of them,"Yes, all of them",I don't know,Some of them,Yes,Maybe,Maybe,Maybe,Very open,No,No response,Yes,Yes,Yes,anxiety-disorder | stress-response-syndromes,No,0,Not applicable to me,Sometimes,26,Male,Canada,United States of America,Always,1,if it came up i would i would not bring it up unprompted,it may affect my work and by disclosing this im protected by disability laws
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,I don't know,None of them,None did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,healthy,No,1,Sometimes,Sometimes,36,Male,United Kingdom,United Kingdom,Never,1,no response,no response
0,0,0,I don't know,No,No,I don't know,Very difficult,No,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",None of them,None did,Some of them,Maybe,No,"Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,mood-disorder,No,0,Not applicable to me,Often,35,Male,United Kingdom,United Kingdom,Always,1,its roughly equivalent to getting a tattoo on your forehead saying dont hire me,it would depend on the nature of the physical health issue and the job role relevance is probably the most important deciding factor
0,1,0,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,None of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Not open at all,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,43,Female,United Kingdom,United Kingdom,Never,1,possibility that this would have a bearing on doing the job,it would have no bearing on my ability to do the job
0,0,0,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,I don't know,Yes,Yes,anxiety-disorder | mood-disorder | eating-disorder | post-traumatic-stress-disorder,Yes,1,Not applicable to me,Often,36,Female,United Kingdom,United Kingdom,Sometimes,1,not relevant to the interview process,not relevant to the interview process
0,1,0,Yes,No,Yes,Yes,I don't know,Yes,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",Aware,I don't know,None did,I don't know,I don't know,None of them,I don't know,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No response,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,32,Female,United States of America,United States of America,Sometimes,1,mental health issues have a negative stigma,many physical health issues are obvious and not addressing them is therefore obvious
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,36,Female,Ireland,Ireland,Always,0,because of the perceptions i think they would have,its personal to me and none of their business
0,1,1,No,No,I don't know,I don't know,Very difficult,Yes,No,No,No,No,Yes,1,Some did,Not Aware,None did,None did,I don't know,"Yes, all of them",None of them,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,Yes,Yes,Yes,anxiety-disorder,Yes,1,Sometimes,Often,38,Male,New Zealand,New Zealand,Never,0,stigma,could be seen as a potential problem in the future
0,1,0,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,1,Some did,Aware,Some did,Some did,Sometimes,None of them,None of them,Some did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,Maybe,unknown,No,1,Not applicable to me,Sometimes,35,Male,United States of America,United States of America,Always,1,i wouldnt trust a potential employer not to hold mental health against me,i tend to want to avoid being personal during interviews if i felt a physical health problem had no relevance to work i wouldnt want to discuss it
0,1,1,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,Yes,Yes,Yes,mood-disorder,Yes,1,Rarely,Sometimes,35,Female,Australia,Australia,Sometimes,1,because im sure it would mean i didnt get the job,because it might mean i dont get the job i have in the last if i knew i had time off coming up or it meant i needed special treatment
0,1,1,Yes,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,1,Some did,Aware,Some did,Some did,I don't know,"Yes, all of them",Some of them,I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,No,Yes,mood-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Often,Often,45,Male,United States of America,United States of America,Always,1,there are ways to legally discriminate it doesnt take much effort to legally block a new hire for illegal reasons,there are ways to legally discriminate it doesnt take much effort to legally block a new hire for illegal reasons
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,I don't know,None did,I don't know,I don't know,None of them,"Yes, they all did",None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No response,No,Maybe,No,healthy,No,0,Not applicable to me,Not applicable to me,47,Male,New Zealand,New Zealand,Always,1,same as with physical issue,depending on the issue it might lower chances of employment
0,1,1,I don't know,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No response,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,United States of America,Sometimes,0,no response,no response
0,0,1,I don't know,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,Some of them,Some did,None of them,Maybe,No,Maybe,Maybe,Very open,No,No response,Yes,Yes,No,healthy,Yes,1,Sometimes,Often,26,Male,United States of America,United States of America,Sometimes,1,no response,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,Some did,"Yes, always",Some of them,Some of them,Some did,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,No,Yes,No,healthy,Yes,1,Rarely,Rarely,51,Male,Australia,Australia,Always,1,prefer to keep this private in case an employer discriminates against me,better to disclose something like that up front in case it impacts work
0,0,1,No,No,No,No,Very difficult,Yes,No,No,No,No,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",No,Yes,Yes,Yes,mood-disorder,Yes,1,Often,Rarely,25,Male,Ecuador,Ecuador,Sometimes,1,fear of discrimination,i want to be seen as an asset not a burden
0,1,1,No,No,No,No,I don't know,Yes,Maybe,No,No,No,No,1,"No, none did",Not Aware,None did,None did,No,"Yes, all of them",Some of them,None did,Some of them,No,No,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",Yes,No,Maybe,Maybe,unknown,No,0,Not applicable to me,Not applicable to me,41,Male,South Africa,South Africa,Sometimes,1,lose out on job for a certainty,dramatically lower chance of success
0,1,0,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,Yes,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No response,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,United States of America,Sometimes,1,no response,no response
0,1,1,No,No,No,I don't know,Very difficult,Maybe,No,Yes,No,I don't know,No,1,Some did,Aware,None did,None did,Sometimes,Some of them,None of them,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,43,Male,Sweden,Sweden,Never,1,i feel there is to much of a stigma attached to mental health issues to bring them up in an interview,i have diabetes and its a natural thing to mention
0,0,1,I don't know,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,None of them,Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder | addictive-disorder,Yes,0,Rarely,Often,33,Male,United Kingdom,United Kingdom,Never,0,i would be certain that nobody would want to hire someone with a mental health issue,id need to ensure that i could manage my back pain on a long term basis with a new employer without any issue in doing so
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",Some of them,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,37,Male,Australia,Australia,Sometimes,1,no response,no response
0,0,1,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,eating-disorder | mood-disorder,Yes,1,Rarely,Often,27,Female,United Kingdom,United Kingdom,Never,1,it would make them perceive me as weak or someone who will cost them money from sick days,they might disregard me due to already having cause to take sick days off work
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,mood-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Rarely,Sometimes,54,Female,United States of America,United States of America,Sometimes,0,theres a stigma,if it would have an impact on the job i could do
0,1,0,I don't know,No,No,I don't know,Very easy,No,No,No,No,Yes,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,No,No,healthy,No,0,Rarely,Often,38,Male,Italy,Italy,Never,1,the same,for his selfcare in the environment
0,1,1,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,Yes,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,None of them,I don't know,None of them,No,No,Maybe,Maybe,Very open,No,No response,I don't know,Yes,No,healthy,Yes,1,Sometimes,Often,42,Male,Germany,Germany,Sometimes,1,same as physical  shouldnt affect outcome,it should not affect the outcome
0,0,1,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,1,Some did,Not Aware,None did,None did,I don't know,Some of them,None of them,I don't know,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No response,No,Maybe,No,healthy,No,0,Not applicable to me,Not applicable to me,30,Male,United Kingdom,United Kingdom,Sometimes,1,again unless relevant,i dont think its relevant
0,1,1,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,No,1,Some did,Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,"Yes, all of them",Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,No,healthy,Yes,1,Never,Rarely,43,Male,Australia,Australia,Sometimes,1,i dont yet know what theyd do with that information,it depends how much i feel i trust them
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,None did,None did,I don't know,Some of them,Some of them,Some did,None of them,No,No,Maybe,Maybe,Neutral,No,No response,I don't know,Yes,Yes,personality-disorder,Yes,1,Rarely,Often,33,Male,Netherlands,Netherlands,Never,0,there is no benefit and its a risk,there is no benefit and its a risk
0,0,1,No,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,Aware,Some did,Some did,I don't know,I don't know,Some of them,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,37,Female,Australia,Australia,Always,1,i would raise it after i got the job if necessary,i would rather try to get the job first and then raise it if required later
0,1,1,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,1,Some did,Not Aware,None did,None did,Sometimes,"Yes, all of them",Some of them,None did,"Yes, all of them",Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,mood-disorder,Yes,1,Rarely,Often,25,Male,United States of America,United States of America,Sometimes,1,worried about it limiting opportunities seen as a major negative,worried about it interfering with day to day tasks or limiting opprotunities
0,1,1,No,Yes,Yes,I don't know,Somewhat difficult,Yes,No,No,No,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",None of them,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,Yes,Yes,Yes,mood-disorder,Yes,1,Never,Often,27,Male,Australia,Australia,Sometimes,1,no response,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No response,No response,Yes,Yes,Yes,mood-disorder | anxiety-disorder,Yes,1,Sometimes,Often,27,Male,Canada,Canada,Sometimes,1,stigma,embarrassed
0,1,0,Yes,No,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No response,No response,No,Yes,Yes,unknown,Yes,1,Sometimes,Often,27,Male,United States of America,United States of America,Never,1,nobody wants to hire a crazy person,they could hire someone without that issue
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,None of them,None did,Some of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,No,No,Maybe,unknown,No,0,Not applicable to me,Sometimes,35,Male,Germany,Germany,Sometimes,1,no response,no response
0,0,1,No,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,I don't know,None of them,None did,None of them,Yes,No,Maybe,Maybe,Somewhat open,No response,No response,No,Yes,Maybe,unknown,No,0,Sometimes,Often,24,Male,United Kingdom,United Kingdom,Never,1,previous attempts havent gone well,physical health issues are easier for other people to see depression is easy for others to dismiss
0,1,1,No,Yes,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,Some did,Aware,None did,Some did,"Yes, always","Yes, all of them",None of them,None did,None of them,No,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Often,31,Other,Switzerland,Switzerland,Never,1,i feel they would definitely weigh it against me in considering me for the job whether intentionallyconsciously or not,i feel they would be likely to weigh it against me in considering me for the job whether intentionallyconsciously or not
0,0,1,I don't know,No,No,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No,1,I don't know,Not Aware,None did,None did,"Yes, always",I don't know,None of them,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,No,No response,No,Maybe,Maybe,unknown,No,0,Sometimes,Sometimes,31,Male,Germany,Germany,Sometimes,1,no response,no response
0,1,1,Yes,Yes,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No response,No,No,No,healthy,No,1,Sometimes,Sometimes,32,Male,United States of America,United States of America,Sometimes,0,more taboo,its never come up
0,1,1,No,Yes,No,I don't know,Very easy,Maybe,No,No,Maybe,Yes,No,1,"No, none did",Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, they do",Somewhat open,No,No response,No,Yes,Yes,anxiety-disorder | obsessive-compulsive-disorder,Yes,1,Rarely,Often,33,Male,Australia,Australia,Sometimes,1,no response,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,Some of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,Maybe,Yes,Yes,Yes,attention-deficit-hyperactivity-disorder | post-traumatic-stress-disorder | substance-use-disorder,Yes,1,Often,Often,56,Male,United States of America,United States of America,Sometimes,1,dont believe they are equipped to understand,worried they wouldnt hire me due to potential cost and work time lost
0,1,1,Yes,No,I don't know,No,Somewhat difficult,Yes,Yes,Maybe,No,No,No,1,Some did,Aware,Some did,Some did,Sometimes,"Yes, all of them",Some of them,None did,Some of them,No,No,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Maybe,unknown,No,1,Sometimes,Often,43,Male,United States of America,United States of America,Sometimes,1,i wouldnt expect them to hire me and i would expect them to make it known why they didnt hire me,i wouldnt expect them to hire me if i did
0,1,1,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,None of them,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,I don't know,Yes,Yes,mood-disorder,Yes,1,Rarely,Sometimes,49,Male,Australia,Australia,Sometimes,1,no response,no response
0,0,1,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,None of them,None of them,"Yes, they all did",None of them,Yes,Yes,"Yes, I think it would",Maybe,Neutral,"Yes, I observed",No,No,Maybe,No,healthy,No,1,Sometimes,Sometimes,35,Male,Bulgaria,Bulgaria,Sometimes,1,same as above,knowledge about this will make it easier to know if the job is right for me and if ill be able to handle it
0,1,1,Yes,No,Yes,Yes,Very difficult,Yes,Yes,Yes,No,No,No,1,Some did,Aware,None did,Some did,Sometimes,Some of them,Some of them,None did,None of them,Yes,No,"Yes, I think it would","No, I don't think they would",Very open,No,No response,No,Yes,No,healthy,Yes,1,Sometimes,Often,53,Male,Canada,Canada,Sometimes,1,stigma of mental illness,not an issue
0,1,1,I don't know,I don't know,I don't know,No,I don't know,No,No,No,Maybe,Yes,No,1,Some did,Aware,I don't know,Some did,No,I don't know,None of them,Some did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,mood-disorder,Yes,1,Rarely,Sometimes,45,Male,United States of America,United States of America,Never,1,an interview is no place to discuss these kind of problems  an interview is to sell yourself based on your merits,unless its a physical handicap i dont want the problem to affect their judgement
0,1,1,Yes,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,"Yes, they all did",Aware,Some did,Some did,I don't know,"Yes, all of them",None of them,None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,I don't know,No,Maybe,unknown,No,1,Never,Sometimes,40,Male,United States of America,United States of America,Sometimes,0,viewed as disqualifying,potentially viewed as disqualifying even if its not
0,1,0,No,Yes,Yes,Yes,I don't know,Yes,Maybe,No,Maybe,I don't know,No,1,"Yes, they all did",Aware,Some did,Some did,"Yes, always",Some of them,Some of them,Some did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,No,healthy,No,1,Sometimes,Often,52,Male,United States of America,United States of America,Sometimes,1,fear of not getting the job,fear of not getting the job
